n. unità,tipologia,consistenza,ubicazione,concessionari ,durata anni,progetto
1,abitazione,"2,5 vani",Via Arquà,Fondazione Casa della Carità Angelo Abriani OnlusVia Brambilla 8/1020128 Milano,10,Progetto Sociale
2,abitazione,3 vani,Via Arzaga,Fondazione Somaschi Onlus P.zza XXV Aprile 220121 Milano,6,Progetto Sociale
3,abitazione,3 vani,Via Arzaga,Fondazione Somaschi Onlus P.zza XXV Aprile 220121 Milano,6,Progetto Sociale
4,box,15 mq,Via Arzaga,Fondazione Somaschi Onlus P.zza XXV Aprile 220121 Milano,6,Progetto Sociale
5,box ,15 mq,Via Asiago,Fondazione Somaschi Onlus P.zza XXV Aprile 220121 Milano,6,Progetto Sociale
6,abitazione,"2,5 vani",Via Baldinucci,"Pio Istituto di Maternità PIM Via delle Camelie, 12 20147 Milano",5,Progetto Sociale
7,abitazione,"5,5 vani",Via Baldo degli Ubaldi,Fondazione Casa della Carità Angelo Abriani OnlusVia Brambilla 8/1020128 Milano,in corso proroga,Progetto Sociale
8,abitazione,"1,5 vani",Via Bassano del Grappa,Fondazione Progetto Arca OnlusVia S. Giovanni alla Paglia 720124 Milano,10,Progetto Sociale
9,abitazione,8 vani,Via Bembo,Fondazione Somaschi Onlus P.zza XXV Aprile 220121 Milano,6,Progetto Sociale
10,box,23 mq.,Via Bembo,"Cooperativa Sociale Aromi a Tutto CampoVia Ippocrate,4520161 Milano",3,Progetto Sociale
11,abitazione,"1,5 vani",Via Bessarione,Gestione direttaComune di MilanoSettore Residenzialità,,Progetto Sociale
12,abitazione,8 vani,Via Bianchi Mosè,Gestione direttaComune di MilanoSettore Residenzialità,,Progetto Sociale
13,abitazione,3 vani,Via Bianchi Mosè,"Associazione Società di San Vincenzo dè Paoli Consiglio Centrale di Milano OnlusVia Pisacane, 3220129 Milano",5,Progetto Sociale
14,abitazione,"9,5 vani",Via Bianco Mario,Comunità Sant’Egidio ACAP Onlus Via Lanzone 1320123 Milano,15,Progetto Sociale
15,abitazione,6 vani,Viale Brianza,Associazione Progetto Itaca OnlusVia Alessandro Volta 7/a20121 Milano,6,Progetto Sociale
16,box ,14 mq,Via Brusuglio,Fondazione Somaschi Onlus P.zza XXV Aprile 220121 Milano,6,Progetto Sociale
17,abitazione,5 vani,Via Burlamacchi,"Soc. Coop. Sociale Spazio Aperto Servizi OnlusVia Gorki, 520146 Milano",3,Progetto Sociale
18,abitazione,4 vani,Via Cambiasi,Fondazione Somaschi Onlus P.zza XXV Aprile 220121 Milano,6,Progetto Sociale
19,abitazione,8 vani,Via Canonica,Fondazione Don Carlo Gnocchi Onlus Piazzale R. Morandi 620121 Milano,10,Progetto Sociale
20,Locale commerciale,36 mq,via Cenisio,Associazione di Volontariato Aldo Perini Onlus P.zza Pompeo Castelli 1020156 Milano,5,Progetto Sociale
21,abitazione,4 vani,Via Ceriani,"Consorzio Farsi Prossimo OnlusVia San Bernadino, 42011 Milano",in corso proroga,Progetto Sociale
22,"Negozio, magazzino e cantina di pertinenza del negozio",63 mq,Via Ceriani,Associazione Il BalzoVle Etiopia 620146 Milano ,5,Progetto Sociale
23,"Negozio, magazzino e cantina di pertinenza del negozio",18 mq,Via Ceriani,Associazione Il BalzoVle Etiopia 620146 Milano ,5,Progetto Sociale
24,"Negozio, magazzino e cantina di pertinenza del negozio",19 mq,Via Ceriani,Associazione Il BalzoVle Etiopia 620146 Milano ,5,Progetto Sociale
